   203 -  
   406 -  arugvcn
    48 - a
    96 - ar
    48 - r
   203 - arugvcn
    25 - u
    53 - ugvc
    14 - g
    28 - gvc
     4 - v
    14 - vc
    10 - c
   107 - ugvcn
    54 - n
   990 -  arugvcnefdlmyohbpwtis
   110 - e
   239 - efdlmy
    30 - f
    61 - fd
    31 - d
   129 - fdlmy
    34 - l
    68 - lmy
    16 - m
    34 - my
    18 - y
   584 - efdlmyohbpwtis
    71 - o
   161 - ohbpw
    44 - h
    90 - hbpw
    11 - b
    23 - bp
    12 - p
    46 - bpw
    23 - w
   345 - ohbpwtis
    91 - t
   184 - tis
    46 - i
    93 - is
    47 - s
